instance,num_var,num_rep,num_steps,compress,runtime,gap,best_energy,gnd_energy,success_prob,best_solution
precision_3_timepoints_5.coo,60,4096,1000,False,0.11142948,0.0,-173.5,-173.5,0.0244140625,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1
precision_3_timepoints_6.coo,72,4096,1000,False,0.130940232,0.116822429906542,-213.75,-214.0,0.0,-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1
precision_4_timepoints_3.coo,48,4096,1000,False,0.094945513,0.1225490196078431,-101.875,-102.0,0.0,-1;1;1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1
precision_4_timepoints_4.coo,64,4096,1000,False,0.114228403,0.1283147989734816,-145.9375,-146.125,0.0,-1;1;1;1;-1;-1;1;1;-1;1;-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;1
precision_4_timepoints_5.coo,80,4096,1000,False,0.141251456,0.164257555847569,-189.9375,-190.25,0.0,-1;1;1;1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1
precision_4_timepoints_6.coo,96,4096,1000,False,0.167589031,0.1866666666666666,-233.9375,-234.375,0.0,-1;1;1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;-1;1;1;-1;-1;1;-1;-1;1;1;1;-1;-1;-1;1
precision_2_timepoints_3.coo,24,8192,1000,False,0.09110935,0.0,-76.0,-76.0,3.41796875,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1
precision_2_timepoints_4.coo,32,8192,1000,False,0.111924773,0.0,-110.0,-110.0,5.94482421875,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1
precision_2_timepoints_5.coo,40,8192,1000,False,0.141409718,0.0,-144.0,-144.0,1.28173828125,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;1
precision_2_timepoints_6.coo,48,8192,1000,False,0.16825418,0.0,-178.0,-178.0,0.341796875,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1
precision_3_timepoints_3.coo,36,8192,1000,False,0.126660269,0.0,-92.5,-92.5,0.5615234375,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1
precision_3_timepoints_4.coo,48,8192,1000,False,0.168893422,0.0,-133.0,-133.0,0.4638671875,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1
precision_3_timepoints_5.coo,60,8192,1000,False,0.203537164,0.0,-173.5,-173.5,0.01220703125,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1
precision_3_timepoints_6.coo,72,8192,1000,False,0.242142034,0.116822429906542,-213.75,-214.0,0.0,-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1
precision_4_timepoints_3.coo,48,8192,1000,False,0.165477835,0.0612745098039215,-101.9375,-102.0,0.0,1;-1;-1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;-1
precision_4_timepoints_4.coo,64,8192,1000,False,0.218565481,0.1710863986313088,-145.875,-146.125,0.0,1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;1;-1;1;1;1;-1;1;1;-1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1
precision_4_timepoints_5.coo,80,8192,1000,False,0.269029955,0.164257555847569,-189.9375,-190.25,0.0,-1;1;1;1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1
precision_4_timepoints_6.coo,96,8192,1000,False,0.317710873,0.1866666666666666,-233.9375,-234.375,0.0,-1;1;1;-1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;-1;1;-1;1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;1;1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;1
precision_2_timepoints_3.coo,24,16384,1000,False,0.164581744,0.0,-76.0,-76.0,3.216552734375,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1
precision_2_timepoints_4.coo,32,16384,1000,False,0.217584038,0.0,-110.0,-110.0,6.103515625,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1
precision_2_timepoints_5.coo,40,16384,1000,False,0.265030899,0.0,-144.0,-144.0,1.1474609375,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;1
precision_2_timepoints_6.coo,48,16384,1000,False,0.315155106,0.0,-178.0,-178.0,0.347900390625,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1
precision_3_timepoints_3.coo,36,16384,1000,False,0.24069454,0.0,-92.5,-92.5,0.5615234375,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1
precision_3_timepoints_4.coo,48,16384,1000,False,0.314612327,0.0,-133.0,-133.0,0.47607421875,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1
precision_3_timepoints_5.coo,60,16384,1000,False,0.389839827,0.0,-173.5,-173.5,0.018310546875,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1
precision_3_timepoints_6.coo,72,16384,1000,False,0.466156792,0.116822429906542,-213.75,-214.0,0.0,-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1
precision_4_timepoints_3.coo,48,16384,1000,False,0.318129277,0.0612745098039215,-101.9375,-102.0,0.0,1;-1;-1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;-1
precision_4_timepoints_4.coo,64,16384,1000,False,0.41978909,0.0427715996578272,-146.0625,-146.125,0.0,1;-1;-1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
precision_4_timepoints_5.coo,80,16384,1000,False,0.518486042,0.164257555847569,-189.9375,-190.25,0.0,1;-1;-1;-1;-1;-1;1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;1;-1;-1;1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1
